
n       HLT Path Name   Index 0 Emergency       Index 1 2.2e34  Index 2 2.0e34  Index 3 1.6e34  Index 4 1.4e34  Index 5 1.2e34  Index 6 1.0e34  Index 7 8.0e33  Index 8 5.0e33  Index 9 1.0e34 backup   Index 10 900b   Index 11 1.6e34 + ZeroBias      
77      HLT_AK8PFJet60_v15 (2110147)                                    0       1       2       2       2       2       2       2       2       2       2       2     
78      HLT_AK8PFJet80_v15 (2110148)                                    0       2       2       2       2       2       2       2       2       2       2       2     
79      HLT_AK8PFJetFwd140_v14 (2110187)                                0       2       2       2       2       2       2       2       2       2       2       2     
80      HLT_AK8PFJetFwd15_v3 (2110182)                                  0       0       0       0       0       0       0       0       0       0       0       0     
81      HLT_AK8PFJetFwd200_v14 (2110188)                                0       1       1       1       1       1       1       1       1       1       1       1     
82      HLT_AK8PFJetFwd25_v3 (2110183)                                  0       0       0       0       0       0       0       0       0       0       0       0     
83      HLT_AK8PFJetFwd260_v15 (2110189)                                0       8       8       8       8       8       8       8       8       8       8       8     
84      HLT_AK8PFJetFwd320_v15 (2110190)                                0       4       4       4       4       4       4       4       4       4       4       4     
85      HLT_AK8PFJetFwd400_v15 (2110191)                                0       1       1       1       1       1       1       1       1       1       1       1     
86      HLT_AK8PFJetFwd40_v15 (2110184)                                 0       750     750     750     750     750     750     750     750     750     750     750   
87      HLT_AK8PFJetFwd450_v15 (2110192)                                0       1       1       1       1       1       1       1       1       1       1       1     
88      HLT_AK8PFJetFwd500_v15 (2110193)                                0       1       1       1       1       1       1       1       1       1       1       1     
89      HLT_AK8PFJetFwd60_v14 (2110185)                                 0       1       1       1       1       1       1       1       1       1       1       1      
90      HLT_AK8PFJetFwd80_v14 (2110186)                                 0       3       3       3       3       3       3       3       3       3       3       3      
91      HLT_BTagMu_AK4DiJet110_Mu5_v13 (2110283)                        0       1       1       1       1       1       1       1       1       1       1       1      
92      HLT_BTagMu_AK4DiJet170_Mu5_v12 (2110284)                        0       1       1       1       1       1       1       1       1       1       1       1      
93      HLT_BTagMu_AK4DiJet20_Mu5_v13 (2110280)                         0       4       4       4       4       4       4       4       4       4       4       4      
94      HLT_BTagMu_AK4DiJet40_Mu5_v13 (2110281)                         0       1       1       1       1       1       1       1       1       1       1       1      
95      HLT_BTagMu_AK4DiJet70_Mu5_v13 (2110282)                         0       1       1       1       1       1       1       1       1       1       1       1      
96      HLT_BTagMu_AK4Jet300_Mu5_v12 (2110285)                          0       1       1       1       1       1       1       1       1       1       1       1      
97      HLT_BTagMu_AK8DiJet170_Mu5_v9 (2110286)                         0       1       1       1       1       1       1       1       1       1       1       1      
98      HLT_BTagMu_AK8Jet170_DoubleMu5_v2 (2110287)                     0       1       1       1       1       1       1       1       1       1       1       1       
99      HLT_BTagMu_AK8Jet300_Mu5_v12 (2110288)                          0       1       1       1       1       1       1       1       1       1       1       1       
100     HLT_CaloJet500_NoJetID_v12 (2110021)                            0       1       1       1       1       1       1       1       1       1       1       1       
101     HLT_CaloJet550_NoJetID_v7 (2110022)                             0       1       1       1       1       1       1       1       1       1       1       1       
102     HLT_CaloMET100_HBHECleaned_v4 (2110244)                         0       64      64      64      64      64      64      64      64      64      64      64      
103     HLT_CaloMET100_NotCleaned_v4 (2110238)                          0       128     128     128     128     128     128     128     128     128     128     128     
104     HLT_CaloMET110_NotCleaned_v4 (2110239)                          0       128     128     128     128     128     128     128     128     128     128     128     
105     HLT_CaloMET250_HBHECleaned_v4 (2110245)                         0       8       8       8       8       8       8       8       8       8       8       8       
106     HLT_CaloMET250_NotCleaned_v4 (2110240)                          0       8       8       8       8       8       8       8       8       8       8       8       
107     HLT_CaloMET300_HBHECleaned_v4 (2110246)                         0       4       4       4       4       4       4       4       4       4       4       4       
108     HLT_CaloMET350_HBHECleaned_v4 (2110247)                         0       1       1       1       1       1       1       1       1       1       1       1       
109     HLT_CaloMET70_HBHECleaned_v4 (2110241)                          0       128     128     128     128     128     128     128     128     128     128     128     
110     HLT_CaloMET80_HBHECleaned_v4 (2110242)                          0       128     128     128     128     128     128     128     128     128     128     128     
